aten_op,input_shapes,calls,calls_per_step,self_gpu_time_us,self_gpu_us_per_step,self_gpu_pct,avg_us_per_call
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 50304], [50304, 768], []]",6,2.00,143351.9,47784.0,17.14,23891.98
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 3072], [3072, 768], []]",72,24.00,110842.7,36947.6,13.25,1539.48
aten::linear_backward,"[[48, 1024, 3072], [48, 1024, 768], [768, 3072], []]",72,24.00,102121.5,34040.5,12.21,1418.35
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 2304], [2304, 768], []]",72,24.00,83162.8,27720.9,9.94,1155.04
aten::linear,"[[48, 1024, 768], [50304, 768], []]",9,3.00,66461.3,22153.8,7.94,7384.59
aten::linear,"[[48, 1024, 768], [3072, 768], []]",108,36.00,50031.8,16677.3,5.98,463.26
aten::linear,"[[48, 1024, 3072], [768, 3072], []]",108,36.00,49841.7,16613.9,5.96,461.50
aten::linear,"[[48, 1024, 768], [2304, 768], []]",108,36.00,37336.9,12445.6,4.46,345.71
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 768], [768, 768], []]",72,24.00,28778.7,9592.9,3.44,399.70
aten::_to_copy,"[[49152, 50304], [], [], [], [], [], []]",12,4.00,26113.7,8704.6,3.12,2176.14
aten::_to_copy,"[[48, 1024, 768], [], [], [], [], [], []]",444,148.00,16133.7,5377.9,1.93,36.34
aten::_log_softmax_backward_data,"[[49152, 50304], [49152, 50304], [], []]",6,2.00,15835.7,5278.6,1.89,2639.29
aten::native_layer_norm_backward,"[[48, 1024, 768], [48, 1024, 768], [], [48, 1024, 1], [48, 1024, 1], [768], [], []]",150,50.00,14769.6,4923.2,1.77,98.46
aten::add,"[[48, 1024, 768], [48, 1024, 768], []]",288,96.00,14101.6,4700.5,1.69,48.96
aten::_log_softmax,"[[49152, 50304], [], []]",6,2.00,13474.7,4491.6,1.61,2245.78
aten::linear,"[[48, 1024, 768], [768, 768], []]",108,36.00,13401.7,4467.2,1.60,124.09
aten::gelu_backward,"[[48, 1024, 3072], [48, 1024, 3072], []]",72,24.00,8861.3,2953.8,1.06,123.07
aten::gelu,"[[48, 1024, 3072], []]",72,24.00,7927.1,2642.4,0.95,110.10
aten::nll_loss_backward,"[[], [49152, 50304], [49152], [], [], [], [], [49152, 50304]]",3,1.00,5931.4,1977.1,0.71,1977.12
aten::clone,"[[48, 1024, 12, 64], []]",288,96.00,5445.0,1815.0,0.65,18.91
aten::native_layer_norm,"[[48, 1024, 768], [], [768], [], []]",150,50.00,5313.0,1771.0,0.64,35.42
aten::cat,"[[], []]",72,24.00,4396.9,1465.6,0.53,61.07
aten::_fused_adamw_,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",12,4.00,3036.2,1012.1,0.36,253.02
aten::add_,"[[], [], []]",225,75.00,2213.3,737.8,0.26,9.84
aten::stack,"[[], []]",6,2.00,1062.2,354.1,0.13,177.04
aten::embedding_dense_backward,"[[48, 1024, 768], [48, 1024], [], [], []]",6,2.00,1030.5,343.5,0.12,171.75
aten::_foreach_mul_,"[[], []]",6,2.00,802.5,267.5,0.10,133.75
aten::_to_copy,"[[768, 3072], [], [], [], [], [], []]",144,48.00,711.9,237.3,0.09,4.94
aten::_to_copy,"[[3072, 768], [], [], [], [], [], []]",144,48.00,703.6,234.5,0.08,4.89
aten::_to_copy,"[[2304, 768], [], [], [], [], [], []]",144,48.00,562.5,187.5,0.07,3.91
aten::_foreach_norm,"[[], [], []]",6,2.00,528.6,176.2,0.06,88.10
aten::_to_copy,"[[50304, 768], [], [], [], [], [], []]",12,4.00,469.6,156.5,0.06,39.14
aten::embedding,"[[50304, 768], [48, 1024], [], [], []]",6,2.00,424.0,141.3,0.05,70.67
aten::_to_copy,"[[768, 768], [], [], [], [], [], []]",144,48.00,375.3,125.1,0.04,2.61
aten::add,"[[50304, 768], [50304, 768], []]",6,2.00,332.0,110.7,0.04,55.33
aten::add,"[[48, 1024, 768], [1024, 768], []]",6,2.00,271.6,90.5,0.03,45.27
aten::sum,"[[48, 1024, 768], [], [], []]",6,2.00,124.6,41.5,0.01,20.76
aten::linalg_vector_norm,"[[75], [], [], [], [], []]",3,1.00,61.0,20.3,0.01,20.32
aten::embedding_dense_backward,"[[1024, 768], [1024], [], [], []]",6,2.00,56.6,18.9,0.01,9.43
aten::nll_loss_forward,"[[49152, 50304], [49152], [], [], [], [], []]",3,1.00,35.9,12.0,0.00,11.97
aten::arange,"[[], [], [], [0]]",6,2.00,26.0,8.7,0.00,4.34
aten::embedding,"[[1024, 768], [1024], [], [], []]",6,2.00,19.0,6.3,0.00,3.17
aten::add,"[[], [], []]",6,2.00,15.2,5.1,0.00,2.53
aten::ones_like,"[[], [], [], [], [], []]",6,2.00,15.0,5.0,0.00,2.50
aten::mul,"[[], []]",6,2.00,14.6,4.9,0.00,2.44
aten::reciprocal,[[]],6,2.00,14.4,4.8,0.00,2.41
aten::clamp,"[[], [], []]",6,2.00,13.9,4.6,0.00,2.32
