aten_op,calls,calls_per_step,self_gpu_time_us,self_gpu_us_per_step,self_gpu_pct,avg_us_per_call
aten::linear_backward,294,98.00,468257.6,156085.9,55.97,1592.71
aten::linear,441,147.00,217073.4,72357.8,25.95,492.23
aten::_to_copy,1044,348.00,45070.2,15023.4,5.39,43.17
aten::_log_softmax_backward_data,6,2.00,15835.7,5278.6,1.89,2639.29
aten::native_layer_norm_backward,150,50.00,14769.6,4923.2,1.77,98.46
aten::add,306,102.00,14720.4,4906.8,1.76,48.11
aten::_log_softmax,6,2.00,13474.7,4491.6,1.61,2245.78
aten::gelu_backward,72,24.00,8861.3,2953.8,1.06,123.07
aten::gelu,72,24.00,7927.1,2642.4,0.95,110.10
aten::nll_loss_backward,9,3.00,5931.4,1977.1,0.71,659.04
aten::clone,288,96.00,5445.0,1815.0,0.65,18.91
aten::native_layer_norm,150,50.00,5313.0,1771.0,0.64,35.42
aten::cat,72,24.00,4396.9,1465.6,0.53,61.07
aten::_fused_adamw_,12,4.00,3036.2,1012.1,0.36,253.02
aten::add_,225,75.00,2213.3,737.8,0.26,9.84
aten::embedding_dense_backward,12,4.00,1087.1,362.4,0.13,90.59
aten::stack,6,2.00,1062.2,354.1,0.13,177.04
aten::_foreach_mul_,6,2.00,802.5,267.5,0.10,133.75
aten::_foreach_norm,6,2.00,528.6,176.2,0.06,88.10
aten::embedding,12,4.00,443.1,147.7,0.05,36.92
aten::sum,6,2.00,124.6,41.5,0.01,20.76
aten::linalg_vector_norm,9,3.00,61.0,20.3,0.01,6.77
aten::nll_loss_forward,9,3.00,35.9,12.0,0.00,3.99
aten::arange,9,3.00,26.0,8.7,0.00,2.89
aten::ones_like,6,2.00,15.0,5.0,0.00,2.50
aten::mul,6,2.00,14.6,4.9,0.00,2.44
aten::reciprocal,6,2.00,14.4,4.8,0.00,2.41
aten::clamp,6,2.00,13.9,4.6,0.00,2.32
