aten_op,calls,calls_per_step,self_gpu_time_us,self_gpu_us_per_step,self_gpu_pct,avg_us_per_call
aten::linear_backward,294,98.00,166467.6,55489.2,41.79,566.22
aten::linear,441,147.00,84879.2,28293.1,21.31,192.47
aten::_to_copy,1044,348.00,39088.8,13029.6,9.81,37.44
aten::_log_softmax_backward_data,6,2.00,15824.2,5274.7,3.97,2637.36
aten::native_layer_norm_backward,150,50.00,15177.5,5059.2,3.81,101.18
aten::add,306,102.00,14815.8,4938.6,3.72,48.42
aten::_log_softmax,6,2.00,14480.2,4826.7,3.63,2413.36
aten::gelu_backward,72,24.00,9192.4,3064.1,2.31,127.67
aten::gelu,72,24.00,7889.7,2629.9,1.98,109.58
aten::nll_loss_backward,9,3.00,5909.2,1969.7,1.48,656.58
aten::clone,288,96.00,5501.1,1833.7,1.38,19.10
aten::native_layer_norm,150,50.00,5305.5,1768.5,1.33,35.37
aten::cat,72,24.00,4380.4,1460.1,1.10,60.84
aten::_fused_adamw_,12,4.00,2958.1,986.0,0.74,246.51
aten::add_,225,75.00,2270.0,756.7,0.57,10.09
aten::embedding_dense_backward,12,4.00,1092.7,364.2,0.27,91.06
aten::stack,6,2.00,1085.0,361.7,0.27,180.83
aten::_foreach_mul_,6,2.00,805.2,268.4,0.20,134.20
aten::_foreach_norm,6,2.00,522.7,174.2,0.13,87.11
aten::embedding,12,4.00,431.0,143.7,0.11,35.91
aten::sum,6,2.00,124.2,41.4,0.03,20.70
aten::linalg_vector_norm,9,3.00,61.0,20.3,0.02,6.78
aten::nll_loss_forward,9,3.00,35.4,11.8,0.01,3.93
aten::arange,9,3.00,27.5,9.2,0.01,3.06
aten::mul,6,2.00,15.1,5.0,0.00,2.52
aten::clamp,6,2.00,15.0,5.0,0.00,2.50
aten::reciprocal,6,2.00,14.8,4.9,0.00,2.46
aten::ones_like,6,2.00,14.7,4.9,0.00,2.45
