aten_op,input_shapes,calls,calls_per_step,self_gpu_time_us,self_gpu_us_per_step,self_gpu_pct,avg_us_per_call
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 50304], [50304, 768], []]",6,2.00,143521.5,47840.5,17.15,23920.26
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 3072], [3072, 768], []]",72,24.00,110893.1,36964.4,13.25,1540.18
aten::linear_backward,"[[48, 1024, 3072], [48, 1024, 768], [768, 3072], []]",72,24.00,102174.7,34058.2,12.21,1419.09
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 2304], [2304, 768], []]",72,24.00,83195.1,27731.7,9.94,1155.49
aten::linear,"[[48, 1024, 768], [50304, 768], []]",9,3.00,66531.5,22177.2,7.95,7392.39
aten::linear,"[[48, 1024, 768], [3072, 768], []]",108,36.00,50055.7,16685.2,5.98,463.48
aten::linear,"[[48, 1024, 3072], [768, 3072], []]",108,36.00,49913.4,16637.8,5.96,462.16
aten::linear,"[[48, 1024, 768], [2304, 768], []]",108,36.00,37362.9,12454.3,4.46,345.95
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 768], [768, 768], []]",72,24.00,28799.9,9600.0,3.44,400.00
aten::_to_copy,"[[49152, 50304], [], [], [], [], [], []]",12,4.00,26109.9,8703.3,3.12,2175.82
aten::_to_copy,"[[48, 1024, 768], [], [], [], [], [], []]",444,148.00,16148.1,5382.7,1.93,36.37
aten::_log_softmax_backward_data,"[[49152, 50304], [49152, 50304], [], []]",6,2.00,15814.1,5271.4,1.89,2635.69
aten::native_layer_norm_backward,"[[48, 1024, 768], [48, 1024, 768], [], [48, 1024, 1], [48, 1024, 1], [768], [], []]",150,50.00,14762.8,4920.9,1.76,98.42
aten::add,"[[48, 1024, 768], [48, 1024, 768], []]",288,96.00,14111.5,4703.8,1.69,49.00
aten::_log_softmax,"[[49152, 50304], [], []]",6,2.00,13445.7,4481.9,1.61,2240.96
aten::linear,"[[48, 1024, 768], [768, 768], []]",108,36.00,13414.3,4471.4,1.60,124.21
aten::gelu_backward,"[[48, 1024, 3072], [48, 1024, 3072], []]",72,24.00,8849.3,2949.8,1.06,122.91
aten::gelu,"[[48, 1024, 3072], []]",72,24.00,7950.3,2650.1,0.95,110.42
aten::nll_loss_backward,"[[], [49152, 50304], [49152], [], [], [], [], [49152, 50304]]",3,1.00,5897.8,1965.9,0.70,1965.92
aten::clone,"[[48, 1024, 12, 64], []]",288,96.00,5450.8,1816.9,0.65,18.93
aten::native_layer_norm,"[[48, 1024, 768], [], [768], [], []]",150,50.00,5314.3,1771.4,0.63,35.43
aten::cat,"[[], []]",72,24.00,4392.7,1464.2,0.52,61.01
aten::_fused_adamw_,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",12,4.00,3008.2,1002.7,0.36,250.68
aten::add_,"[[], [], []]",225,75.00,2223.6,741.2,0.27,9.88
aten::stack,"[[], []]",6,2.00,1080.8,360.3,0.13,180.13
aten::embedding_dense_backward,"[[48, 1024, 768], [48, 1024], [], [], []]",6,2.00,1033.2,344.4,0.12,172.20
aten::_foreach_mul_,"[[], []]",6,2.00,797.0,265.7,0.10,132.83
aten::_to_copy,"[[768, 3072], [], [], [], [], [], []]",144,48.00,711.2,237.1,0.08,4.94
aten::_to_copy,"[[3072, 768], [], [], [], [], [], []]",144,48.00,702.7,234.2,0.08,4.88
aten::_to_copy,"[[2304, 768], [], [], [], [], [], []]",144,48.00,562.3,187.4,0.07,3.90
aten::_foreach_norm,"[[], [], []]",6,2.00,528.9,176.3,0.06,88.15
aten::_to_copy,"[[50304, 768], [], [], [], [], [], []]",12,4.00,469.1,156.4,0.06,39.10
aten::embedding,"[[50304, 768], [48, 1024], [], [], []]",6,2.00,424.1,141.4,0.05,70.69
aten::_to_copy,"[[768, 768], [], [], [], [], [], []]",144,48.00,382.0,127.3,0.05,2.65
aten::add,"[[50304, 768], [50304, 768], []]",6,2.00,327.0,109.0,0.04,54.50
aten::add,"[[48, 1024, 768], [1024, 768], []]",6,2.00,272.9,91.0,0.03,45.49
aten::sum,"[[48, 1024, 768], [], [], []]",6,2.00,123.0,41.0,0.01,20.49
aten::linalg_vector_norm,"[[75], [], [], [], [], []]",3,1.00,59.4,19.8,0.01,19.79
aten::embedding_dense_backward,"[[1024, 768], [1024], [], [], []]",6,2.00,57.8,19.3,0.01,9.63
aten::nll_loss_forward,"[[49152, 50304], [49152], [], [], [], [], []]",3,1.00,37.0,12.3,0.00,12.35
aten::arange,"[[], [], [], [0]]",6,2.00,26.8,8.9,0.00,4.46
aten::embedding,"[[1024, 768], [1024], [], [], []]",6,2.00,19.4,6.5,0.00,3.23
aten::add,"[[], [], []]",6,2.00,15.0,5.0,0.00,2.51
aten::mul,"[[], []]",6,2.00,14.8,4.9,0.00,2.47
aten::reciprocal,[[]],6,2.00,14.8,4.9,0.00,2.46
aten::ones_like,"[[], [], [], [], [], []]",6,2.00,14.7,4.9,0.00,2.45
aten::clamp,"[[], [], []]",6,2.00,14.0,4.7,0.00,2.34
