aten_op,calls,calls_per_step,self_gpu_time_us,self_gpu_us_per_step,self_gpu_pct,avg_us_per_call
aten::linear_backward,294,98.00,468584.3,156194.8,55.98,1593.82
aten::linear,441,147.00,217277.9,72426.0,25.96,492.69
aten::_to_copy,1044,348.00,45085.3,15028.4,5.39,43.19
aten::_log_softmax_backward_data,6,2.00,15814.1,5271.4,1.89,2635.69
aten::native_layer_norm_backward,150,50.00,14762.8,4920.9,1.76,98.42
aten::add,306,102.00,14726.5,4908.8,1.76,48.13
aten::_log_softmax,6,2.00,13445.7,4481.9,1.61,2240.96
aten::gelu_backward,72,24.00,8849.3,2949.8,1.06,122.91
aten::gelu,72,24.00,7950.3,2650.1,0.95,110.42
aten::nll_loss_backward,9,3.00,5897.8,1965.9,0.70,655.31
aten::clone,288,96.00,5450.8,1816.9,0.65,18.93
aten::native_layer_norm,150,50.00,5314.3,1771.4,0.63,35.43
aten::cat,72,24.00,4392.7,1464.2,0.52,61.01
aten::_fused_adamw_,12,4.00,3008.2,1002.7,0.36,250.68
aten::add_,225,75.00,2223.6,741.2,0.27,9.88
aten::embedding_dense_backward,12,4.00,1090.9,363.6,0.13,90.91
aten::stack,6,2.00,1080.8,360.3,0.13,180.13
aten::_foreach_mul_,6,2.00,797.0,265.7,0.10,132.83
aten::_foreach_norm,6,2.00,528.9,176.3,0.06,88.15
aten::embedding,12,4.00,443.5,147.8,0.05,36.96
aten::sum,6,2.00,123.0,41.0,0.01,20.49
aten::linalg_vector_norm,9,3.00,59.4,19.8,0.01,6.60
aten::nll_loss_forward,9,3.00,37.0,12.3,0.00,4.12
aten::arange,9,3.00,26.8,8.9,0.00,2.98
aten::mul,6,2.00,14.8,4.9,0.00,2.47
aten::reciprocal,6,2.00,14.8,4.9,0.00,2.46
aten::ones_like,6,2.00,14.7,4.9,0.00,2.45
aten::clamp,6,2.00,14.0,4.7,0.00,2.34
