aten_op,calls,calls_per_step,self_gpu_time_us,self_gpu_us_per_step,self_gpu_pct,avg_us_per_call
aten::linear_backward,294,98.00,559039.0,186346.3,58.58,1901.49
aten::linear,441,147.00,216792.8,72264.3,22.72,491.59
aten::_to_copy,1044,348.00,45110.1,15036.7,4.73,43.21
aten::clone,288,96.00,32908.0,10969.3,3.45,114.26
aten::_log_softmax_backward_data,6,2.00,15816.1,5272.0,1.66,2636.02
aten::native_layer_norm_backward,150,50.00,14756.5,4918.8,1.55,98.38
aten::add,306,102.00,14705.3,4901.8,1.54,48.06
aten::_log_softmax,6,2.00,13440.3,4480.1,1.41,2240.05
aten::gelu_backward,72,24.00,8820.5,2940.2,0.92,122.51
aten::gelu,72,24.00,7917.3,2639.1,0.83,109.96
aten::nll_loss_backward,9,3.00,5954.4,1984.8,0.62,661.60
aten::native_layer_norm,150,50.00,5303.6,1767.9,0.56,35.36
aten::cat,72,24.00,4373.9,1458.0,0.46,60.75
aten::_fused_adamw_,12,4.00,2993.8,997.9,0.31,249.49
aten::add_,225,75.00,2232.6,744.2,0.23,9.92
aten::embedding_dense_backward,12,4.00,1096.5,365.5,0.11,91.38
aten::stack,6,2.00,1060.8,353.6,0.11,176.80
aten::_foreach_mul_,6,2.00,801.7,267.2,0.08,133.62
aten::_foreach_norm,6,2.00,526.8,175.6,0.06,87.80
aten::embedding,12,4.00,442.8,147.6,0.05,36.90
aten::sum,6,2.00,123.2,41.1,0.01,20.53
aten::linalg_vector_norm,9,3.00,60.1,20.0,0.01,6.68
aten::nll_loss_forward,9,3.00,36.0,12.0,0.00,4.00
aten::arange,9,3.00,25.6,8.5,0.00,2.85
aten::reciprocal,6,2.00,14.6,4.9,0.00,2.44
aten::clamp,6,2.00,14.6,4.9,0.00,2.44
aten::mul,6,2.00,14.6,4.9,0.00,2.43
aten::ones_like,6,2.00,14.4,4.8,0.00,2.40
