aten_op,input_shapes,calls,calls_per_step,self_gpu_time_us,self_gpu_us_per_step,self_gpu_pct,avg_us_per_call
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 50304], [50304, 768], []]",6,2.00,142928.7,47642.9,14.98,23821.45
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 3072], [3072, 768], []]",72,24.00,132465.8,44155.3,13.88,1839.80
aten::linear_backward,"[[48, 1024, 3072], [48, 1024, 768], [768, 3072], []]",72,24.00,125654.0,41884.7,13.17,1745.19
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 2304], [2304, 768], []]",72,24.00,116244.7,38748.2,12.18,1614.51
aten::linear,"[[48, 1024, 768], [50304, 768], []]",9,3.00,66329.9,22110.0,6.95,7369.99
aten::linear,"[[48, 1024, 768], [3072, 768], []]",108,36.00,50013.9,16671.3,5.24,463.09
aten::linear,"[[48, 1024, 3072], [768, 3072], []]",108,36.00,49762.5,16587.5,5.21,460.76
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 768], [768, 768], []]",72,24.00,41745.8,13915.3,4.37,579.80
aten::linear,"[[48, 1024, 768], [2304, 768], []]",108,36.00,37338.6,12446.2,3.91,345.73
aten::clone,"[[48, 1024, 12, 64], []]",288,96.00,32908.0,10969.3,3.45,114.26
aten::_to_copy,"[[49152, 50304], [], [], [], [], [], []]",12,4.00,26120.0,8706.7,2.74,2176.66
aten::_to_copy,"[[48, 1024, 768], [], [], [], [], [], []]",444,148.00,16140.7,5380.2,1.69,36.35
aten::_log_softmax_backward_data,"[[49152, 50304], [49152, 50304], [], []]",6,2.00,15816.1,5272.0,1.66,2636.02
aten::native_layer_norm_backward,"[[48, 1024, 768], [48, 1024, 768], [], [48, 1024, 1], [48, 1024, 1], [768], [], []]",150,50.00,14756.5,4918.8,1.55,98.38
aten::add,"[[48, 1024, 768], [48, 1024, 768], []]",288,96.00,14092.9,4697.6,1.48,48.93
aten::_log_softmax,"[[49152, 50304], [], []]",6,2.00,13440.3,4480.1,1.41,2240.05
aten::linear,"[[48, 1024, 768], [768, 768], []]",108,36.00,13347.9,4449.3,1.40,123.59
aten::gelu_backward,"[[48, 1024, 3072], [48, 1024, 3072], []]",72,24.00,8820.5,2940.2,0.92,122.51
aten::gelu,"[[48, 1024, 3072], []]",72,24.00,7917.3,2639.1,0.83,109.96
aten::nll_loss_backward,"[[], [49152, 50304], [49152], [], [], [], [], [49152, 50304]]",3,1.00,5954.4,1984.8,0.62,1984.81
aten::native_layer_norm,"[[48, 1024, 768], [], [768], [], []]",150,50.00,5303.6,1767.9,0.56,35.36
aten::cat,"[[], []]",72,24.00,4373.9,1458.0,0.46,60.75
aten::_fused_adamw_,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",12,4.00,2993.8,997.9,0.31,249.49
aten::add_,"[[], [], []]",225,75.00,2232.6,744.2,0.23,9.92
aten::stack,"[[], []]",6,2.00,1060.8,353.6,0.11,176.80
aten::embedding_dense_backward,"[[48, 1024, 768], [48, 1024], [], [], []]",6,2.00,1039.5,346.5,0.11,173.25
aten::_foreach_mul_,"[[], []]",6,2.00,801.7,267.2,0.08,133.62
aten::_to_copy,"[[768, 3072], [], [], [], [], [], []]",144,48.00,714.6,238.2,0.07,4.96
aten::_to_copy,"[[3072, 768], [], [], [], [], [], []]",144,48.00,710.4,236.8,0.07,4.93
aten::_to_copy,"[[2304, 768], [], [], [], [], [], []]",144,48.00,571.7,190.6,0.06,3.97
aten::_foreach_norm,"[[], [], []]",6,2.00,526.8,175.6,0.06,87.80
aten::_to_copy,"[[50304, 768], [], [], [], [], [], []]",12,4.00,471.4,157.1,0.05,39.29
aten::embedding,"[[50304, 768], [48, 1024], [], [], []]",6,2.00,423.1,141.0,0.04,70.52
aten::_to_copy,"[[768, 768], [], [], [], [], [], []]",144,48.00,381.3,127.1,0.04,2.65
aten::add,"[[50304, 768], [50304, 768], []]",6,2.00,325.0,108.3,0.03,54.16
aten::add,"[[48, 1024, 768], [1024, 768], []]",6,2.00,272.9,91.0,0.03,45.49
aten::sum,"[[48, 1024, 768], [], [], []]",6,2.00,123.2,41.1,0.01,20.53
aten::linalg_vector_norm,"[[75], [], [], [], [], []]",3,1.00,60.1,20.0,0.01,20.04
aten::embedding_dense_backward,"[[1024, 768], [1024], [], [], []]",6,2.00,57.0,19.0,0.01,9.50
aten::nll_loss_forward,"[[49152, 50304], [49152], [], [], [], [], []]",3,1.00,36.0,12.0,0.00,12.01
aten::arange,"[[], [], [], [0]]",6,2.00,25.6,8.5,0.00,4.27
aten::embedding,"[[1024, 768], [1024], [], [], []]",6,2.00,19.6,6.5,0.00,3.27
aten::reciprocal,[[]],6,2.00,14.6,4.9,0.00,2.44
aten::clamp,"[[], [], []]",6,2.00,14.6,4.9,0.00,2.44
aten::mul,"[[], []]",6,2.00,14.6,4.9,0.00,2.43
aten::add,"[[], [], []]",6,2.00,14.5,4.8,0.00,2.42
aten::ones_like,"[[], [], [], [], [], []]",6,2.00,14.4,4.8,0.00,2.40
