aten_op,input_shapes,calls,calls_per_step,self_gpu_time_us,self_gpu_us_per_step,self_gpu_pct,avg_us_per_call
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 50304], [50304, 768], []]",6,2.00,143354.9,47785.0,15.00,23892.49
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 3072], [3072, 768], []]",72,24.00,132659.4,44219.8,13.88,1842.49
aten::linear_backward,"[[48, 1024, 3072], [48, 1024, 768], [768, 3072], []]",72,24.00,125702.4,41900.8,13.15,1745.87
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 2304], [2304, 768], []]",72,24.00,116371.5,38790.5,12.18,1616.27
aten::linear,"[[48, 1024, 768], [50304, 768], []]",9,3.00,66386.4,22128.8,6.95,7376.27
aten::linear,"[[48, 1024, 768], [3072, 768], []]",108,36.00,50023.7,16674.6,5.23,463.18
aten::linear,"[[48, 1024, 3072], [768, 3072], []]",108,36.00,49803.1,16601.0,5.21,461.14
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 768], [768, 768], []]",72,24.00,41814.7,13938.2,4.38,580.76
aten::linear,"[[48, 1024, 768], [2304, 768], []]",108,36.00,37340.0,12446.7,3.91,345.74
aten::clone,"[[48, 1024, 12, 64], []]",288,96.00,32928.4,10976.1,3.45,114.33
aten::_to_copy,"[[49152, 50304], [], [], [], [], [], []]",12,4.00,26109.2,8703.1,2.73,2175.77
aten::_to_copy,"[[48, 1024, 768], [], [], [], [], [], []]",444,148.00,16139.5,5379.8,1.69,36.35
aten::_log_softmax_backward_data,"[[49152, 50304], [49152, 50304], [], []]",6,2.00,15832.5,5277.5,1.66,2638.76
aten::native_layer_norm_backward,"[[48, 1024, 768], [48, 1024, 768], [], [48, 1024, 1], [48, 1024, 1], [768], [], []]",150,50.00,14778.6,4926.2,1.55,98.52
aten::add,"[[48, 1024, 768], [48, 1024, 768], []]",288,96.00,14159.8,4719.9,1.48,49.17
aten::_log_softmax,"[[49152, 50304], [], []]",6,2.00,13437.0,4479.0,1.41,2239.50
aten::linear,"[[48, 1024, 768], [768, 768], []]",108,36.00,13387.4,4462.5,1.40,123.96
aten::gelu_backward,"[[48, 1024, 3072], [48, 1024, 3072], []]",72,24.00,8853.9,2951.3,0.93,122.97
aten::gelu,"[[48, 1024, 3072], []]",72,24.00,7924.4,2641.5,0.83,110.06
aten::nll_loss_backward,"[[], [49152, 50304], [49152], [], [], [], [], [49152, 50304]]",3,1.00,5934.9,1978.3,0.62,1978.29
aten::native_layer_norm,"[[48, 1024, 768], [], [768], [], []]",150,50.00,5346.5,1782.2,0.56,35.64
aten::cat,"[[], []]",72,24.00,4379.4,1459.8,0.46,60.83
aten::_fused_adamw_,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",12,4.00,3027.6,1009.2,0.32,252.30
aten::add_,"[[], [], []]",225,75.00,2230.4,743.5,0.23,9.91
aten::stack,"[[], []]",6,2.00,1070.5,356.8,0.11,178.42
aten::embedding_dense_backward,"[[48, 1024, 768], [48, 1024], [], [], []]",6,2.00,1036.1,345.4,0.11,172.68
aten::_foreach_mul_,"[[], []]",6,2.00,810.0,270.0,0.08,135.00
aten::_to_copy,"[[768, 3072], [], [], [], [], [], []]",144,48.00,716.0,238.7,0.07,4.97
aten::_to_copy,"[[3072, 768], [], [], [], [], [], []]",144,48.00,710.7,236.9,0.07,4.94
aten::_to_copy,"[[2304, 768], [], [], [], [], [], []]",144,48.00,568.0,189.3,0.06,3.94
aten::_foreach_norm,"[[], [], []]",6,2.00,524.9,175.0,0.05,87.49
aten::_to_copy,"[[50304, 768], [], [], [], [], [], []]",12,4.00,469.5,156.5,0.05,39.12
aten::embedding,"[[50304, 768], [48, 1024], [], [], []]",6,2.00,421.8,140.6,0.04,70.31
aten::_to_copy,"[[768, 768], [], [], [], [], [], []]",144,48.00,383.5,127.8,0.04,2.66
aten::add,"[[50304, 768], [50304, 768], []]",6,2.00,330.7,110.2,0.03,55.11
aten::add,"[[48, 1024, 768], [1024, 768], []]",6,2.00,273.5,91.2,0.03,45.58
aten::sum,"[[48, 1024, 768], [], [], []]",6,2.00,124.2,41.4,0.01,20.69
aten::linalg_vector_norm,"[[75], [], [], [], [], []]",3,1.00,60.2,20.1,0.01,20.08
aten::embedding_dense_backward,"[[1024, 768], [1024], [], [], []]",6,2.00,58.0,19.3,0.01,9.67
aten::nll_loss_forward,"[[49152, 50304], [49152], [], [], [], [], []]",3,1.00,36.3,12.1,0.00,12.09
aten::arange,"[[], [], [], [0]]",6,2.00,27.0,9.0,0.00,4.50
aten::embedding,"[[1024, 768], [1024], [], [], []]",6,2.00,19.1,6.4,0.00,3.18
aten::ones_like,"[[], [], [], [], [], []]",6,2.00,15.7,5.2,0.00,2.62
aten::add,"[[], [], []]",6,2.00,15.2,5.1,0.00,2.53
aten::clamp,"[[], [], []]",6,2.00,15.0,5.0,0.00,2.51
aten::reciprocal,[[]],6,2.00,15.0,5.0,0.00,2.50
aten::mul,"[[], []]",6,2.00,14.6,4.9,0.00,2.44
