aten_op,calls,calls_per_step,self_gpu_time_us,self_gpu_us_per_step,self_gpu_pct,avg_us_per_call
aten::linear_backward,294,98.00,559903.0,186634.3,58.59,1904.43
aten::linear,441,147.00,216940.7,72313.6,22.70,491.93
aten::_to_copy,1044,348.00,45096.3,15032.1,4.72,43.20
aten::clone,288,96.00,32928.4,10976.1,3.45,114.33
aten::_log_softmax_backward_data,6,2.00,15832.5,5277.5,1.66,2638.76
aten::add,306,102.00,14779.2,4926.4,1.55,48.30
aten::native_layer_norm_backward,150,50.00,14778.6,4926.2,1.55,98.52
aten::_log_softmax,6,2.00,13437.0,4479.0,1.41,2239.50
aten::gelu_backward,72,24.00,8853.9,2951.3,0.93,122.97
aten::gelu,72,24.00,7924.4,2641.5,0.83,110.06
aten::nll_loss_backward,9,3.00,5934.9,1978.3,0.62,659.43
aten::native_layer_norm,150,50.00,5346.5,1782.2,0.56,35.64
aten::cat,72,24.00,4379.4,1459.8,0.46,60.83
aten::_fused_adamw_,12,4.00,3027.6,1009.2,0.32,252.30
aten::add_,225,75.00,2230.4,743.5,0.23,9.91
aten::embedding_dense_backward,12,4.00,1094.1,364.7,0.11,91.18
aten::stack,6,2.00,1070.5,356.8,0.11,178.42
aten::_foreach_mul_,6,2.00,810.0,270.0,0.08,135.00
aten::_foreach_norm,6,2.00,524.9,175.0,0.05,87.49
aten::embedding,12,4.00,440.9,147.0,0.05,36.74
aten::sum,6,2.00,124.2,41.4,0.01,20.69
aten::linalg_vector_norm,9,3.00,60.2,20.1,0.01,6.69
aten::nll_loss_forward,9,3.00,36.3,12.1,0.00,4.03
aten::arange,9,3.00,27.0,9.0,0.00,3.00
aten::ones_like,6,2.00,15.7,5.2,0.00,2.62
aten::clamp,6,2.00,15.0,5.0,0.00,2.51
aten::reciprocal,6,2.00,15.0,5.0,0.00,2.50
aten::mul,6,2.00,14.6,4.9,0.00,2.44
