aten_op,calls,calls_per_step,self_gpu_time_us,self_gpu_us_per_step,self_gpu_pct,avg_us_per_call
aten::linear_backward,294,98.00,166333.7,55444.6,40.96,565.76
aten::linear,441,147.00,86381.7,28793.9,21.27,195.88
aten::_to_copy,1044,348.00,45607.2,15202.4,11.23,43.69
aten::_log_softmax_backward_data,6,2.00,15803.7,5267.9,3.89,2633.95
aten::native_layer_norm_backward,150,50.00,15110.9,5037.0,3.72,100.74
aten::add,306,102.00,14766.8,4922.3,3.64,48.26
aten::_log_softmax,6,2.00,14323.4,4774.5,3.53,2387.23
aten::gelu_backward,72,24.00,9242.6,3080.9,2.28,128.37
aten::gelu,72,24.00,7895.6,2631.9,1.94,109.66
aten::nll_loss_backward,9,3.00,5915.0,1971.7,1.46,657.22
aten::clone,288,96.00,5500.5,1833.5,1.35,19.10
aten::native_layer_norm,150,50.00,5300.4,1766.8,1.31,35.34
aten::cat,72,24.00,4395.8,1465.3,1.08,61.05
aten::_fused_adamw_,12,4.00,2952.9,984.3,0.73,246.07
aten::add_,225,75.00,2264.9,755.0,0.56,10.07
aten::embedding_dense_backward,12,4.00,1091.4,363.8,0.27,90.95
aten::stack,6,2.00,1090.2,363.4,0.27,181.70
aten::_foreach_mul_,6,2.00,803.4,267.8,0.20,133.90
aten::_foreach_norm,6,2.00,525.5,175.2,0.13,87.58
aten::embedding,12,4.00,435.1,145.0,0.11,36.26
aten::sum,6,2.00,122.8,40.9,0.03,20.47
aten::linalg_vector_norm,9,3.00,62.5,20.8,0.02,6.94
aten::nll_loss_forward,9,3.00,36.2,12.1,0.01,4.03
aten::arange,9,3.00,27.4,9.1,0.01,3.05
aten::mul,6,2.00,15.2,5.1,0.00,2.54
aten::clamp,6,2.00,15.1,5.0,0.00,2.52
aten::ones_like,6,2.00,14.9,5.0,0.00,2.49
aten::reciprocal,6,2.00,14.6,4.9,0.00,2.44
