aten_op,input_shapes,calls,calls_per_step,self_gpu_time_us,self_gpu_us_per_step,self_gpu_pct,avg_us_per_call
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 50304], [50304, 768], []]",6,2.00,49361.4,16453.8,12.16,8226.89
aten::linear_backward,"[[48, 1024, 3072], [48, 1024, 768], [768, 3072], []]",72,24.00,38124.8,12708.3,9.39,529.51
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 3072], [3072, 768], []]",72,24.00,36152.3,12050.8,8.90,502.12
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 2304], [2304, 768], []]",72,24.00,31471.5,10490.5,7.75,437.10
aten::linear,"[[48, 1024, 768], [50304, 768], []]",9,3.00,27768.2,9256.1,6.84,3085.36
aten::_to_copy,"[[49152, 50304], [], [], [], [], [], []]",12,4.00,26540.4,8846.8,6.54,2211.70
aten::linear,"[[48, 1024, 768], [3072, 768], []]",108,36.00,19801.9,6600.6,4.88,183.35
aten::linear,"[[48, 1024, 3072], [768, 3072], []]",108,36.00,18869.1,6289.7,4.65,174.71
aten::_to_copy,"[[48, 1024, 768], [], [], [], [], [], []]",444,148.00,16195.4,5398.5,3.99,36.48
aten::_log_softmax_backward_data,"[[49152, 50304], [49152, 50304], [], []]",6,2.00,15803.7,5267.9,3.89,2633.95
aten::native_layer_norm_backward,"[[48, 1024, 768], [48, 1024, 768], [], [48, 1024, 1], [48, 1024, 1], [768], [], []]",150,50.00,15110.9,5037.0,3.72,100.74
aten::linear,"[[48, 1024, 768], [2304, 768], []]",108,36.00,14910.4,4970.1,3.67,138.06
aten::_log_softmax,"[[49152, 50304], [], []]",6,2.00,14323.4,4774.5,3.53,2387.23
aten::add,"[[48, 1024, 768], [48, 1024, 768], []]",288,96.00,14152.6,4717.5,3.49,49.14
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 768], [768, 768], []]",72,24.00,11223.7,3741.2,2.76,155.88
aten::gelu_backward,"[[48, 1024, 3072], [48, 1024, 3072], []]",72,24.00,9242.6,3080.9,2.28,128.37
aten::gelu,"[[48, 1024, 3072], []]",72,24.00,7895.6,2631.9,1.94,109.66
aten::nll_loss_backward,"[[], [49152, 50304], [49152], [], [], [], [], [49152, 50304]]",3,1.00,5915.0,1971.7,1.46,1971.67
aten::clone,"[[48, 1024, 12, 64], []]",288,96.00,5500.5,1833.5,1.35,19.10
aten::native_layer_norm,"[[48, 1024, 768], [], [768], [], []]",150,50.00,5300.4,1766.8,1.31,35.34
aten::linear,"[[48, 1024, 768], [768, 768], []]",108,36.00,5032.1,1677.4,1.24,46.59
aten::cat,"[[], []]",72,24.00,4395.8,1465.3,1.08,61.05
aten::_fused_adamw_,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",12,4.00,2952.9,984.3,0.73,246.07
aten::add_,"[[], [], []]",225,75.00,2264.9,755.0,0.56,10.07
aten::stack,"[[], []]",6,2.00,1090.2,363.4,0.27,181.70
aten::embedding_dense_backward,"[[48, 1024, 768], [48, 1024], [], [], []]",6,2.00,1034.3,344.8,0.25,172.38
aten::_foreach_mul_,"[[], []]",6,2.00,803.4,267.8,0.20,133.90
aten::_to_copy,"[[768, 3072], [], [], [], [], [], []]",144,48.00,711.4,237.1,0.18,4.94
aten::_to_copy,"[[3072, 768], [], [], [], [], [], []]",144,48.00,708.5,236.2,0.17,4.92
aten::_to_copy,"[[2304, 768], [], [], [], [], [], []]",144,48.00,564.7,188.2,0.14,3.92
aten::_foreach_norm,"[[], [], []]",6,2.00,525.5,175.2,0.13,87.58
aten::_to_copy,"[[50304, 768], [], [], [], [], [], []]",12,4.00,503.5,167.8,0.12,41.96
aten::embedding,"[[50304, 768], [48, 1024], [], [], []]",6,2.00,416.0,138.7,0.10,69.33
aten::_to_copy,"[[768, 768], [], [], [], [], [], []]",144,48.00,383.2,127.7,0.09,2.66
aten::add,"[[50304, 768], [50304, 768], []]",6,2.00,323.3,107.8,0.08,53.88
aten::add,"[[48, 1024, 768], [1024, 768], []]",6,2.00,276.1,92.0,0.07,46.02
aten::sum,"[[48, 1024, 768], [], [], []]",6,2.00,122.8,40.9,0.03,20.47
aten::linalg_vector_norm,"[[75], [], [], [], [], []]",3,1.00,62.5,20.8,0.02,20.83
aten::embedding_dense_backward,"[[1024, 768], [1024], [], [], []]",6,2.00,57.1,19.0,0.01,9.51
aten::nll_loss_forward,"[[49152, 50304], [49152], [], [], [], [], []]",3,1.00,36.2,12.1,0.01,12.08
aten::arange,"[[], [], [], [0]]",6,2.00,27.4,9.1,0.01,4.57
aten::embedding,"[[1024, 768], [1024], [], [], []]",6,2.00,19.1,6.4,0.00,3.18
aten::mul,"[[], []]",6,2.00,15.2,5.1,0.00,2.54
aten::clamp,"[[], [], []]",6,2.00,15.1,5.0,0.00,2.52
aten::ones_like,"[[], [], [], [], [], []]",6,2.00,14.9,5.0,0.00,2.49
aten::add,"[[], [], []]",6,2.00,14.8,4.9,0.00,2.47
aten::reciprocal,[[]],6,2.00,14.6,4.9,0.00,2.44
