aten_op,calls,calls_per_step,self_gpu_time_us,self_gpu_us_per_step,self_gpu_pct,avg_us_per_call
aten::linear_backward,294,98.00,558660.5,186220.2,58.55,1900.21
aten::linear,441,147.00,216866.0,72288.7,22.73,491.76
aten::_to_copy,1044,348.00,45193.1,15064.4,4.74,43.29
aten::clone,288,96.00,32901.7,10967.2,3.45,114.24
aten::_log_softmax_backward_data,6,2.00,15819.7,5273.2,1.66,2636.62
aten::native_layer_norm_backward,150,50.00,14736.9,4912.3,1.54,98.25
aten::add,306,102.00,14679.5,4893.2,1.54,47.97
aten::_log_softmax,6,2.00,13430.8,4476.9,1.41,2238.47
aten::gelu_backward,72,24.00,8854.1,2951.4,0.93,122.97
aten::gelu,72,24.00,7944.6,2648.2,0.83,110.34
aten::nll_loss_backward,9,3.00,5902.2,1967.4,0.62,655.80
aten::native_layer_norm,150,50.00,5277.8,1759.3,0.55,35.19
aten::cat,72,24.00,4368.0,1456.0,0.46,60.67
aten::_fused_adamw_,12,4.00,2978.1,992.7,0.31,248.18
aten::add_,225,75.00,2242.7,747.6,0.24,9.97
aten::embedding_dense_backward,12,4.00,1099.3,366.4,0.12,91.61
aten::stack,6,2.00,1079.5,359.8,0.11,179.91
aten::_foreach_mul_,6,2.00,795.4,265.1,0.08,132.57
aten::_foreach_norm,6,2.00,526.1,175.4,0.06,87.68
aten::embedding,12,4.00,438.8,146.3,0.05,36.57
aten::sum,6,2.00,123.5,41.2,0.01,20.59
aten::linalg_vector_norm,9,3.00,62.7,20.9,0.01,6.97
aten::nll_loss_forward,9,3.00,37.0,12.3,0.00,4.11
aten::arange,9,3.00,26.9,9.0,0.00,2.98
aten::mul,6,2.00,15.6,5.2,0.00,2.61
aten::clamp,6,2.00,15.1,5.0,0.00,2.51
aten::ones_like,6,2.00,14.8,4.9,0.00,2.47
aten::reciprocal,6,2.00,14.7,4.9,0.00,2.44
