aten_op,input_shapes,calls,calls_per_step,self_gpu_time_us,self_gpu_us_per_step,self_gpu_pct,avg_us_per_call
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 50304], [50304, 768], []]",6,2.00,142960.4,47653.5,14.98,23826.74
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 3072], [3072, 768], []]",72,24.00,132245.0,44081.7,13.86,1836.74
aten::linear_backward,"[[48, 1024, 3072], [48, 1024, 768], [768, 3072], []]",72,24.00,125545.0,41848.3,13.16,1743.68
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 2304], [2304, 768], []]",72,24.00,116125.3,38708.4,12.17,1612.85
aten::linear,"[[48, 1024, 768], [50304, 768], []]",9,3.00,66481.2,22160.4,6.97,7386.80
aten::linear,"[[48, 1024, 768], [3072, 768], []]",108,36.00,49940.0,16646.7,5.23,462.41
aten::linear,"[[48, 1024, 3072], [768, 3072], []]",108,36.00,49791.5,16597.2,5.22,461.03
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 768], [768, 768], []]",72,24.00,41784.7,13928.2,4.38,580.34
aten::linear,"[[48, 1024, 768], [2304, 768], []]",108,36.00,37279.8,12426.6,3.91,345.18
aten::clone,"[[48, 1024, 12, 64], []]",288,96.00,32901.7,10967.2,3.45,114.24
aten::_to_copy,"[[49152, 50304], [], [], [], [], [], []]",12,4.00,26184.1,8728.0,2.74,2182.01
aten::_to_copy,"[[48, 1024, 768], [], [], [], [], [], []]",444,148.00,16175.6,5391.9,1.70,36.43
aten::_log_softmax_backward_data,"[[49152, 50304], [49152, 50304], [], []]",6,2.00,15819.7,5273.2,1.66,2636.62
aten::native_layer_norm_backward,"[[48, 1024, 768], [48, 1024, 768], [], [48, 1024, 1], [48, 1024, 1], [768], [], []]",150,50.00,14736.9,4912.3,1.54,98.25
aten::add,"[[48, 1024, 768], [48, 1024, 768], []]",288,96.00,14066.1,4688.7,1.47,48.84
aten::_log_softmax,"[[49152, 50304], [], []]",6,2.00,13430.8,4476.9,1.41,2238.47
aten::linear,"[[48, 1024, 768], [768, 768], []]",108,36.00,13373.5,4457.8,1.40,123.83
aten::gelu_backward,"[[48, 1024, 3072], [48, 1024, 3072], []]",72,24.00,8854.1,2951.4,0.93,122.97
aten::gelu,"[[48, 1024, 3072], []]",72,24.00,7944.6,2648.2,0.83,110.34
aten::nll_loss_backward,"[[], [49152, 50304], [49152], [], [], [], [], [49152, 50304]]",3,1.00,5902.2,1967.4,0.62,1967.39
aten::native_layer_norm,"[[48, 1024, 768], [], [768], [], []]",150,50.00,5277.8,1759.3,0.55,35.19
aten::cat,"[[], []]",72,24.00,4368.0,1456.0,0.46,60.67
aten::_fused_adamw_,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",12,4.00,2978.1,992.7,0.31,248.18
aten::add_,"[[], [], []]",225,75.00,2242.7,747.6,0.24,9.97
aten::stack,"[[], []]",6,2.00,1079.5,359.8,0.11,179.91
aten::embedding_dense_backward,"[[48, 1024, 768], [48, 1024], [], [], []]",6,2.00,1043.0,347.7,0.11,173.83
aten::_foreach_mul_,"[[], []]",6,2.00,795.4,265.1,0.08,132.57
aten::_to_copy,"[[768, 3072], [], [], [], [], [], []]",144,48.00,712.6,237.5,0.07,4.95
aten::_to_copy,"[[3072, 768], [], [], [], [], [], []]",144,48.00,709.2,236.4,0.07,4.93
aten::_to_copy,"[[2304, 768], [], [], [], [], [], []]",144,48.00,567.9,189.3,0.06,3.94
aten::_foreach_norm,"[[], [], []]",6,2.00,526.1,175.4,0.06,87.68
aten::_to_copy,"[[50304, 768], [], [], [], [], [], []]",12,4.00,469.5,156.5,0.05,39.12
aten::embedding,"[[50304, 768], [48, 1024], [], [], []]",6,2.00,419.8,139.9,0.04,69.96
aten::_to_copy,"[[768, 768], [], [], [], [], [], []]",144,48.00,374.2,124.7,0.04,2.60
aten::add,"[[50304, 768], [50304, 768], []]",6,2.00,325.1,108.4,0.03,54.19
aten::add,"[[48, 1024, 768], [1024, 768], []]",6,2.00,272.7,90.9,0.03,45.46
aten::sum,"[[48, 1024, 768], [], [], []]",6,2.00,123.5,41.2,0.01,20.59
aten::linalg_vector_norm,"[[75], [], [], [], [], []]",3,1.00,62.7,20.9,0.01,20.90
aten::embedding_dense_backward,"[[1024, 768], [1024], [], [], []]",6,2.00,56.4,18.8,0.01,9.39
aten::nll_loss_forward,"[[49152, 50304], [49152], [], [], [], [], []]",3,1.00,37.0,12.3,0.00,12.32
aten::arange,"[[], [], [], [0]]",6,2.00,26.9,9.0,0.00,4.48
aten::embedding,"[[1024, 768], [1024], [], [], []]",6,2.00,19.1,6.4,0.00,3.18
aten::mul,"[[], []]",6,2.00,15.6,5.2,0.00,2.61
aten::add,"[[], [], []]",6,2.00,15.6,5.2,0.00,2.59
aten::clamp,"[[], [], []]",6,2.00,15.1,5.0,0.00,2.51
aten::ones_like,"[[], [], [], [], [], []]",6,2.00,14.8,4.9,0.00,2.47
aten::reciprocal,[[]],6,2.00,14.7,4.9,0.00,2.44
