aten_op,input_shapes,calls,calls_per_step,self_gpu_time_us,self_gpu_us_per_step,self_gpu_pct,avg_us_per_call
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 50304], [50304, 768], []]",6,2.00,50093.4,16697.8,12.75,8348.91
aten::linear_backward,"[[48, 1024, 3072], [48, 1024, 768], [768, 3072], []]",72,24.00,38097.9,12699.3,9.69,529.14
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 3072], [3072, 768], []]",72,24.00,36208.8,12069.6,9.21,502.90
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 2304], [2304, 768], []]",72,24.00,31321.4,10440.5,7.97,435.02
aten::linear,"[[48, 1024, 768], [50304, 768], []]",9,3.00,26922.0,8974.0,6.85,2991.33
aten::_to_copy,"[[49152, 50304], [], [], [], [], [], []]",12,4.00,22425.4,7475.1,5.71,1868.78
aten::linear,"[[48, 1024, 768], [3072, 768], []]",108,36.00,19469.9,6490.0,4.95,180.28
aten::linear,"[[48, 1024, 3072], [768, 3072], []]",108,36.00,18544.3,6181.4,4.72,171.71
aten::_log_softmax_backward_data,"[[49152, 50304], [49152, 50304], [], []]",6,2.00,15862.4,5287.5,4.04,2643.73
aten::native_layer_norm_backward,"[[48, 1024, 768], [48, 1024, 768], [], [48, 1024, 1], [48, 1024, 1], [768], [], []]",150,50.00,15247.1,5082.4,3.88,101.65
aten::linear,"[[48, 1024, 768], [2304, 768], []]",108,36.00,14779.1,4926.4,3.76,136.84
aten::_log_softmax,"[[49152, 50304], [], []]",6,2.00,14327.0,4775.7,3.65,2387.83
aten::add,"[[48, 1024, 768], [48, 1024, 768], []]",288,96.00,14160.6,4720.2,3.60,49.17
aten::_to_copy,"[[48, 1024, 768], [], [], [], [], [], []]",444,148.00,13956.3,4652.1,3.55,31.43
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 768], [768, 768], []]",72,24.00,11218.8,3739.6,2.85,155.82
aten::gelu_backward,"[[48, 1024, 3072], [48, 1024, 3072], []]",72,24.00,9241.3,3080.4,2.35,128.35
aten::gelu,"[[48, 1024, 3072], []]",72,24.00,7886.4,2628.8,2.01,109.53
aten::nll_loss_backward,"[[], [49152, 50304], [49152], [], [], [], [], [49152, 50304]]",3,1.00,5925.5,1975.2,1.51,1975.17
aten::linear,"[[48, 1024, 768], [768, 768], []]",108,36.00,5406.8,1802.3,1.38,50.06
aten::native_layer_norm,"[[48, 1024, 768], [], [768], [], []]",150,50.00,5291.8,1763.9,1.35,35.28
aten::cat,"[[], []]",72,24.00,4403.8,1467.9,1.12,61.16
aten::_fused_adamw_,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",12,4.00,2939.9,980.0,0.75,244.99
aten::add_,"[[], [], []]",225,75.00,2286.4,762.1,0.58,10.16
aten::stack,"[[], []]",6,2.00,1094.3,364.8,0.28,182.38
aten::embedding_dense_backward,"[[48, 1024, 768], [48, 1024], [], [], []]",6,2.00,1045.7,348.6,0.27,174.28
aten::_foreach_mul_,"[[], []]",6,2.00,800.2,266.7,0.20,133.37
aten::_foreach_norm,"[[], [], []]",6,2.00,523.2,174.4,0.13,87.20
aten::_to_copy,"[[768, 3072], [], [], [], [], [], []]",144,48.00,451.5,150.5,0.11,3.14
aten::_to_copy,"[[3072, 768], [], [], [], [], [], []]",144,48.00,444.9,148.3,0.11,3.09
aten::_to_copy,"[[2304, 768], [], [], [], [], [], []]",144,48.00,416.1,138.7,0.11,2.89
aten::embedding,"[[50304, 768], [48, 1024], [], [], []]",6,2.00,414.5,138.2,0.11,69.09
aten::_to_copy,"[[50304, 768], [], [], [], [], [], []]",12,4.00,413.0,137.7,0.11,34.41
aten::_to_copy,"[[768, 768], [], [], [], [], [], []]",144,48.00,399.7,133.2,0.10,2.78
aten::add,"[[50304, 768], [50304, 768], []]",6,2.00,318.2,106.1,0.08,53.03
aten::add,"[[48, 1024, 768], [1024, 768], []]",6,2.00,275.7,91.9,0.07,45.95
aten::sum,"[[48, 1024, 768], [], [], []]",6,2.00,122.6,40.9,0.03,20.44
aten::linalg_vector_norm,"[[75], [], [], [], [], []]",3,1.00,64.2,21.4,0.02,21.39
aten::embedding_dense_backward,"[[1024, 768], [1024], [], [], []]",6,2.00,57.8,19.3,0.01,9.64
aten::nll_loss_forward,"[[49152, 50304], [49152], [], [], [], [], []]",3,1.00,37.4,12.5,0.01,12.47
aten::arange,"[[], [], [], [0]]",6,2.00,27.7,9.2,0.01,4.61
aten::embedding,"[[1024, 768], [1024], [], [], []]",6,2.00,19.2,6.4,0.00,3.20
aten::ones_like,"[[], [], [], [], [], []]",6,2.00,15.9,5.3,0.00,2.65
aten::mul,"[[], []]",6,2.00,15.3,5.1,0.00,2.55
aten::clamp,"[[], [], []]",6,2.00,15.0,5.0,0.00,2.50
aten::add,"[[], [], []]",6,2.00,15.0,5.0,0.00,2.49
aten::reciprocal,[[]],6,2.00,14.9,5.0,0.00,2.48
