aten_op,input_shapes,calls,calls_per_step,self_gpu_time_us,self_gpu_us_per_step,self_gpu_pct,avg_us_per_call
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 50304], [50304, 768], []]",6,2.00,49993.6,16664.5,12.35,8332.26
aten::linear_backward,"[[48, 1024, 3072], [48, 1024, 768], [768, 3072], []]",72,24.00,38182.3,12727.4,9.44,530.31
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 3072], [3072, 768], []]",72,24.00,36203.8,12067.9,8.95,502.83
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 2304], [2304, 768], []]",72,24.00,31625.0,10541.7,7.82,439.24
aten::linear,"[[48, 1024, 768], [50304, 768], []]",9,3.00,26621.5,8873.8,6.58,2957.95
aten::_to_copy,"[[49152, 50304], [], [], [], [], [], []]",12,4.00,26051.2,8683.7,6.44,2170.93
aten::linear,"[[48, 1024, 768], [3072, 768], []]",108,36.00,19710.0,6570.0,4.87,182.50
aten::linear,"[[48, 1024, 3072], [768, 3072], []]",108,36.00,18592.4,6197.5,4.59,172.15
aten::_to_copy,"[[48, 1024, 768], [], [], [], [], [], []]",444,148.00,16153.3,5384.4,3.99,36.38
aten::_log_softmax_backward_data,"[[49152, 50304], [49152, 50304], [], []]",6,2.00,15818.5,5272.8,3.91,2636.42
aten::native_layer_norm_backward,"[[48, 1024, 768], [48, 1024, 768], [], [48, 1024, 1], [48, 1024, 1], [768], [], []]",150,50.00,15005.6,5001.9,3.71,100.04
aten::linear,"[[48, 1024, 768], [2304, 768], []]",108,36.00,14872.7,4957.6,3.68,137.71
aten::add,"[[48, 1024, 768], [48, 1024, 768], []]",288,96.00,14247.4,4749.1,3.52,49.47
aten::_log_softmax,"[[49152, 50304], [], []]",6,2.00,14126.4,4708.8,3.49,2354.40
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 768], [768, 768], []]",72,24.00,11198.2,3732.7,2.77,155.53
aten::gelu_backward,"[[48, 1024, 3072], [48, 1024, 3072], []]",72,24.00,9232.5,3077.5,2.28,128.23
aten::gelu,"[[48, 1024, 3072], []]",72,24.00,7883.2,2627.7,1.95,109.49
aten::nll_loss_backward,"[[], [49152, 50304], [49152], [], [], [], [], [49152, 50304]]",3,1.00,5942.2,1980.7,1.47,1980.75
aten::clone,"[[48, 1024, 12, 64], []]",288,96.00,5529.8,1843.3,1.37,19.20
aten::native_layer_norm,"[[48, 1024, 768], [], [768], [], []]",150,50.00,5286.7,1762.2,1.31,35.24
aten::linear,"[[48, 1024, 768], [768, 768], []]",108,36.00,4996.6,1665.5,1.23,46.26
aten::cat,"[[], []]",72,24.00,4382.7,1460.9,1.08,60.87
aten::_fused_adamw_,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",12,4.00,2956.6,985.5,0.73,246.39
aten::add_,"[[], [], []]",225,75.00,2280.5,760.2,0.56,10.14
aten::stack,"[[], []]",6,2.00,1088.1,362.7,0.27,181.34
aten::embedding_dense_backward,"[[48, 1024, 768], [48, 1024], [], [], []]",6,2.00,1040.9,347.0,0.26,173.48
aten::_foreach_mul_,"[[], []]",6,2.00,805.5,268.5,0.20,134.26
aten::_to_copy,"[[768, 3072], [], [], [], [], [], []]",144,48.00,709.2,236.4,0.18,4.92
aten::_to_copy,"[[3072, 768], [], [], [], [], [], []]",144,48.00,707.0,235.7,0.17,4.91
aten::_to_copy,"[[2304, 768], [], [], [], [], [], []]",144,48.00,565.3,188.4,0.14,3.93
aten::_foreach_norm,"[[], [], []]",6,2.00,522.5,174.2,0.13,87.09
aten::_to_copy,"[[50304, 768], [], [], [], [], [], []]",12,4.00,498.5,166.2,0.12,41.54
aten::embedding,"[[50304, 768], [48, 1024], [], [], []]",6,2.00,414.1,138.0,0.10,69.01
aten::_to_copy,"[[768, 768], [], [], [], [], [], []]",144,48.00,407.2,135.7,0.10,2.83
aten::add,"[[50304, 768], [50304, 768], []]",6,2.00,321.5,107.2,0.08,53.59
aten::add,"[[48, 1024, 768], [1024, 768], []]",6,2.00,276.1,92.0,0.07,46.01
aten::sum,"[[48, 1024, 768], [], [], []]",6,2.00,122.5,40.8,0.03,20.41
aten::linalg_vector_norm,"[[75], [], [], [], [], []]",3,1.00,61.6,20.5,0.02,20.55
aten::embedding_dense_backward,"[[1024, 768], [1024], [], [], []]",6,2.00,57.8,19.3,0.01,9.63
aten::nll_loss_forward,"[[49152, 50304], [49152], [], [], [], [], []]",3,1.00,36.8,12.3,0.01,12.25
aten::arange,"[[], [], [], [0]]",6,2.00,27.2,9.1,0.01,4.54
aten::embedding,"[[1024, 768], [1024], [], [], []]",6,2.00,19.2,6.4,0.00,3.19
aten::ones_like,"[[], [], [], [], [], []]",6,2.00,15.6,5.2,0.00,2.61
aten::mul,"[[], []]",6,2.00,15.3,5.1,0.00,2.55
aten::reciprocal,[[]],6,2.00,15.1,5.0,0.00,2.51
aten::add,"[[], [], []]",6,2.00,14.7,4.9,0.00,2.45
aten::clamp,"[[], [], []]",6,2.00,14.7,4.9,0.00,2.44
