aten_op,calls,calls_per_step,self_gpu_time_us,self_gpu_us_per_step,self_gpu_pct,avg_us_per_call
aten::linear_backward,294,98.00,167202.8,55734.3,41.32,568.72
aten::linear,441,147.00,84793.3,28264.4,20.95,192.28
aten::_to_copy,1044,348.00,45091.8,15030.6,11.14,43.19
aten::_log_softmax_backward_data,6,2.00,15818.5,5272.8,3.91,2636.42
aten::native_layer_norm_backward,150,50.00,15005.6,5001.9,3.71,100.04
aten::add,306,102.00,14859.7,4953.2,3.67,48.56
aten::_log_softmax,6,2.00,14126.4,4708.8,3.49,2354.40
aten::gelu_backward,72,24.00,9232.5,3077.5,2.28,128.23
aten::gelu,72,24.00,7883.2,2627.7,1.95,109.49
aten::nll_loss_backward,9,3.00,5942.2,1980.7,1.47,660.25
aten::clone,288,96.00,5529.8,1843.3,1.37,19.20
aten::native_layer_norm,150,50.00,5286.7,1762.2,1.31,35.24
aten::cat,72,24.00,4382.7,1460.9,1.08,60.87
aten::_fused_adamw_,12,4.00,2956.6,985.5,0.73,246.39
aten::add_,225,75.00,2280.5,760.2,0.56,10.14
aten::embedding_dense_backward,12,4.00,1098.7,366.2,0.27,91.56
aten::stack,6,2.00,1088.1,362.7,0.27,181.34
aten::_foreach_mul_,6,2.00,805.5,268.5,0.20,134.26
aten::_foreach_norm,6,2.00,522.5,174.2,0.13,87.09
aten::embedding,12,4.00,433.2,144.4,0.11,36.10
aten::sum,6,2.00,122.5,40.8,0.03,20.41
aten::linalg_vector_norm,9,3.00,61.6,20.5,0.02,6.85
aten::nll_loss_forward,9,3.00,36.8,12.3,0.01,4.08
aten::arange,9,3.00,27.2,9.1,0.01,3.02
aten::ones_like,6,2.00,15.6,5.2,0.00,2.61
aten::mul,6,2.00,15.3,5.1,0.00,2.55
aten::reciprocal,6,2.00,15.1,5.0,0.00,2.51
aten::clamp,6,2.00,14.7,4.9,0.00,2.44
